question,label,answer,,,,,
"《唐会要》卷八六记载：“贞观元年十月敕：五品以上，不得入市。”这样的规定说明了什么
答：译文：“贞观元年十月皇帝下令：五品以上的官员，不容许进入市场。”说明：（1）说明唐代商品经济非常发达，商人获利丰厚经济实力增强；政府行政官员企图依仗其手中的权利从商人那里获得利益。（2）同时说明在唐代政府对商业的控制依然比较严格。
",内容,译文：“贞观元年十月皇帝下令：五品以上的官员，不容许进入市场。”说明：（1）说明唐代商品经济非常发达，商人获利丰厚经济实力增强；政府行政官员企图依仗其手中的权利从商人那里获得利益。（2）同时说明在唐代政府对商业的控制依然比较严格。,,,,,
《天朝田亩制度》和《资政新篇》,内容,"1853年冬，太平天国制定并颁布了以解决土地问题为中心的《天朝田亩制度》，提出了废除封建地主阶级土地所有制。
《天朝田亩制度》突出反映了农民阶级要求废除封建土地所有制的愿望，是农民反封建斗争的思想结晶。
1859年，为了振兴太平天国，洪仁王干提出《资政新篇》，倡导向西方学习，进行经济、政治和文化改革主张中央集权，反对结党营私，提倡广开言路；主张仿效西方资本主义的某些制度，发展工矿、交通、邮政、金融、水利等事业；准许私人开办工业，奖励科技发明；中外自由通商，平等往来；兴办学馆，建立医院，设立社会福利机构。
这是先进的中国人最早提出的带有资本主义色彩的一个改革方案，集中反映了当时中国人向西方寻求真理和探索救国救民道路的迫切愿望，具有一定的进步意义。",,,,,
《中华民族临时约法》,意义,《中华民国临时约法》体现了三民主义思想，是中国历史上第一部资产阶级民主宪法,,,,,
《中华民族临时约法》的历史意义,意义,《中华民国临时约法》体现了三民主义思想，是中国历史上第一部资产阶级民主宪法,,,,,
《中华人民共和国宪法》,内容,国家性质中华人民共和国是工人阶级领导的、以工农联盟为基础的人民民主国家。国家根本政治制度人民代表大会制度。规定了公民的基本权利和义务，确立了新中国向社会主义过渡的方向和途径,,,,,
《中华人民共和国宪法》性质,意义,是新中国第一部社会主义类型的宪法,,,,,
《中华人民共和国宪法》意义,意义,宪法的颁行，开创了中国人民民主的全新阶段。,,,,,
《中华人民共和国宪法》原则,内容,人民民主原则和社会主义原则,,,,,
《左传?哀公七年》说，“禹合诸侯于涂山，执玉帛者万国。”这是不是可以说明在中国进入文明时代的初期，丝织业已经相当发达。,内容,译文：禹在涂山召集诸侯，有多至万国的手执玉器和丝帛的首领参与。说明文明初期物质生产比较贫乏的禹的时代，丝织业的生产已经达到了一定水平，然而丝绸因其贵重，往往为贵族所专有。,,,,,
……后之为君者不然，以为天下利害之权皆出于我，我以天下之利尽归于己，以天下之害尽归于人，亦无不可。使天下之人不敢自私，不敢自利，以我之大私为天下之公。……凡天下之无地而得安宁者，为君也。是以其未得之也，荼毒天下之肝脑，离散天下之子女，以博我一人之产业，曾不惨然，曰我固为子孙创业也。其既得之也，敲剥天下之骨髓，离散天下之子女，以奉我一人之淫乐，视为当然，曰此我产业之花息也。然则为天下之大害者，“君”而已矣！向使无君，人各得自私也。黄宗羲《明夷待访录》,内容,黄宗羲的这段话，是对君主专制制度的严厉批判。,,,,,
10世纪三四十年代欧洲的三大工人运动主观背景,背景,马克思、恩格斯深入理论研究,,,,,
11世纪三四十年代欧洲的三大工人运动,意义,使无产阶级斗争有了科学理论的指导，促进国际工人运动的发展，开创了无产阶级革命新时代,,,,,
1780年和1860年英国的国际经济地位的变化。思考变化的原因。,原因,英国在国际贸易中的比重大幅度提高，已成为19世纪国际经济地位中最重要的国家。原因：工业革命使英国的实力大大提高；英国政府采取一系列发展经济的措施；英国建立起世界上最大的殖民帝国。,,,,,
1787年宪法,内容,分权与制衡,,,,,
"1840-1900年间西方列强的侵华史实
",内容,"（1）军事侵略鸦片战争第二次鸦片战争中法战争甲午中日战争八国联军侵华战争（2）领土侵略割占土地①英国1842年据《南京条约》割占香港岛。等②俄国第二次鸦片战争后，侵占中国一百五十多万平方公里③日本据1895年《马关条约》割占台湾、澎湖等
变相侵占①南京条约附件英国取得租地居住权，导致通商口岸城市中出现租界②1895年甲午战后，列强抢占租借地和划分势力范围，掀起瓜分狂潮（3）经济侵略走私鸦片、商品倾销、原料掠夺、资本输出（办洋行、银行、工厂、铁路、矿山等）政治贷款、勒索赔款等，控制中国经济命脉（4）其他事例第二次鸦片战争期间，英法联军抢劫烧毁圆明园；1899年美国提出门户开放政策（要求列强开放在华的势力范围）南京条约、马关条约、辛丑条约等的签订
",,,,,
1840-1900年间中国军民反抗外来侵略斗争的事迹,内容,（1）广州三元里抗英（1841年）地位中国近代史上第一次人民自发的大规模抵抗外国侵略的斗争（2）左宗棠收复新疆（1878年）经过①消灭阿古柏侵略势力②曾纪泽谈判从沙俄收回伊犁③新疆建省（3）黄海海战和台湾军民反割台斗争（1895年）（4）义和团运动和抗击八国联军的斗争（1898-1900年）,,,,,
1871年马克思对巴黎工人的评价与1870年是否矛盾说明你的观点。,主张,不矛盾，因为当时的历史条件还不足以进行无产阶级革命。但是，当巴黎工人迫于形势，自发地发动起义建立巴黎公社、进行无产阶级专政的尝试时，马克思肯定了巴黎工人阶级的首创精神。,,,,,
1929～1933年资本主义世界经济危机,意义,①经济极大破坏了生产力和浪费社会资源；②政治激化资本主义社会矛盾阶级和社会矛盾工农运动高涨、法西斯势力兴风作乱；国际矛盾资本主义国家争夺市场的矛盾（如关税战、货币战）和资本主义国家与殖民地半殖民地国家的矛盾（倾销商品、增加捐税等转嫁危机的做法的刺激）③改变国家格局促使德日法西斯国家兴起和疯狂扩张，世界走向战争④促使资本主义国家的经济政策由自由放任转向国家干预，经济体制由私人垄断资本主义向国家垄断资本主义过渡。,,,,,
1929～1933年资本主义世界经济危机,内容,①来势特别猛②范围特别广（波及所有经济部门；蔓延到殖民地和附属国）③时间特别长（1933年进入持续萧条阶段）④破坏力特别大⑤影响特别深,,,,,
1929～1933年资本主义世界经济危机迅速成为世界性危机,原因,①美国是资本主义世界头号经济强国。美国经济的波动对其他资本主义国家的经济和资本主义世界市场有着极其重要的影响。②资本主义世界市场已经形成，世界各国之间经济联系进一步加强。,,,,,
1929～1933年资本主义世界经济危机在美国爆发,原因,①根源资本主义制度的基本矛盾（即生产社会化与资本主义私人占有制的矛盾）。②过度的贫富悬殊（导致大多数美国人因贫困无力购买所需商品）③资本家盲目生产，无序竞争（分期付款的购买和销售方式刺激资本家扩大生产）④狂热的股票投机（股票价格超出生产利润许多倍，造成经济繁荣假象）⑤美国政府推行的自由放任主义的经济政策（不能阻止进而加剧了上述经济运行中的风险）,,,,,
1929-1933年世界经济危机爆发的原因、特点和影响,内容,原因：A根源：资本主义制度的基本矛盾：资本主义生产的社会货船生产资料私人占有的矛盾。B市场供需矛盾尖锐，供过于求；广大人民相对贫困，限制了社会实际消费能力的增长；分期付款和银行信贷刺激虚假繁荣，资本家盲目扩大生产。过度的股票投机活动掩盖了市场供需矛盾。特点：来势特别猛，范围特别广，持续时间特别长，破坏性特别大。影响：加深了资本主义各国严重的社会危机；加剧了世界局势的紧张。,,,,,
1929—33年资本主义经济危机社会根源,原因,资本主义制度的基本矛盾（资本主义生产社会化和生产资料私人占有之间的矛盾）；市场供需的矛盾（一方面市场的虚假繁荣，资本家盲目扩大生产，另一方面劳动人民日益相对贫困，供需矛盾扩大）；投机狂热刺激了市场的虚假繁荣,,,,,
1929—34年资本主义经济危机,意义,"激化社会矛盾失业人数增加,普遍出现群众运动；法西斯兴风作浪，引发社会危机。加剧世界局势的紧张向殖民地半殖民地转嫁危机；引起全球范围的经济战；引起世界格局开始变化和世界主要矛盾的变化。为摆脱危机，资本主义国家选择了不同方式和道路",,,,,
1929—35年资本主义经济危机,原因,美罗斯福新政德日走上了建立法西斯专政，实行对外扩张的道路,,,,,
1954年宪法,内容,a确定国家性质b根本政治制度c公民基本权利和义务d向社会主义过渡的方向和途径,,,,,
1954年宪法,意义,开创人民民主全新阶段，是建设社会主义的法律保证,,,,,
1954年宪法,内容,体现了人民民主和社会主义原则,,,,,
1954年宪法确定的我国根本政治制度是什么？,内容,人民代表大会制度。,,,,,
1954年宪法是哪次会议上制定的？,内容,第一届全国人民代表大会,,,,,
1954年宪法体现了什么原则？,内容,人民民主和社会主义,,,,,
1954年宪法性质,内容,新中国第一部社会主义类型的宪法,,,,,
1954年宪法原则,内容,人民民主和社会主义,,,,,
1954年宪法制定,背景,第一届全国人民代表大会,,,,,
1971年326届联大恢复在联合国的合法席位,原因,①第三世界的崛起和对新中国的支持②美国孤立新中国政策破产③中国国际地位的提高,,,,,
19世纪美国的对外政策,内容,（1）对美洲（早期扩张重点）①1823年提出门罗主义（拒绝欧洲干涉美洲事务）②1889年成立泛美同盟。（2）对亚洲太平洋①19世纪中期，提出新殖民主义的太平洋商业帝国构想②19世纪末提出针对中国的门户开放政策（3）对美洲和亚太①海权论②1898年美西战争，夺取西班牙殖民地,,,,,
19世纪末20世纪初，国际工人运动的特点是什么,内容,（1）随着工人阶级队伍的进一步壮大，各国工人阶级政党纷纷建立，工人阶级有组织的斗争明显增加。（2）合法性斗争成为主要形式。（3）工人斗争更多地集中在经济方面，经济斗争已多于政治斗争。（4）主张以渐进的、和平的方式实现社会主义的学说兴起并流传开来。在专制主义盛行的俄国，在同第二国际机会主义斗争中，产生了列宁主义。俄国继法、德之后成为国际工人运动的中心，其1905年革命结束了资本主义的相对“和平”时期，成为十月革命的“总演习”。,,,,,
2001年APEC非正式领导会议在中国上海召开的情况,内容,2001APEC年会主题：“新世纪、新挑战：参与合作促进共同繁荣”2001APEC年会宗旨：APEC是亚太地区级别最高、影响最大的区域性经济合作组织之一。承办2001年APEC会议是我国在新世纪伊始的一次重大外交活动，它给我国在新世纪巩固和发展与APEC各成员的关系，加深与它们的经贸往来与合作提供了难得的历史机遇，承办此次会议，还将有力地推动我国的改革开放和经济建设向前发展，并使之成为我国向全世界展示改革开放、经济建设的巨大成就的一个重要窗口。2001APEC年会议题：加强能力建设，开拓未来发展机遇，使各成员从全球化和新经济中受益。促进贸易与投资，推动建立更加合理的边贸易体制。为亚太地区的可持续发展创造有利的宏观环境。中国举办2001年APEC年会的意义：中国作为这次会议的主办国，可以充分利用这一机会，从APEC的健康发展和中国自身利益出发，提出会议的主题和议题，发挥自己的积极作用，推进APEC的进程，促进中国的对外开放和经济发展。向亚太展示中国，也让中国更了解亚太，把中国对外经济合作推上一个更高的水平。利用东道国的便利，让与APEC开放领域相关的国内各部门、行业充分了解情况，更好地制定自己的战略和政策。上海作为中国濒临太平洋的国际港口都市，是中国的经济、贸易、金融中心，是中国对外开放的窗口，具有各方面良好的条件，代表了中国经济发展的水平。中国政府选择上海举办2001年APEC年会，可以更好地对外展示中国改革开放的形象和经济发展水平，便于开展中外经济技术合作，让世界了解中国，让中国了解世界。上海更可以利用此次机会，对外展示和宣传自己，进一步提高城市水准，改善投资环境；抓住会议带来的可观商机，推动对外经济合作，让经济界、企业界从中获益，使上海的经济发展跨上一个新台阶。,,,,,
20世纪50年代至70年代我国探索社会主义建设道路的实践,背景,"①1956年毛泽东《论十大关系》，提出多发展农业、轻工业和沿海工业等，开始突破苏联建设模式，探索中国特色道路。
②1956年中共八大关于主要矛盾和主要任务的正确论断。（提出即反保守又反冒进,在综合平衡中稳步前进的经济建设方针）
③1958年发动大跃进和人民公社化运动
起因对什么是和怎样建设社会主义缺乏认识
急于求成和片面强调经济发展速度
后果使得高指标、瞎指挥、浮夸风和共产风等左倾泛滥，造成社会生产力极大破坏。
④1960年提出调整、巩固、充实、提高的八字方针，到65年国民经济得到恢复和发展。
⑤1966-1976年文革时期，国民经济建设严重破坏。周恩来措施恢复各种规章制度，重申坚持按劳分配的原则。邓小平在1975年以铁路开始全面整顿",,,,,
20世纪50年代至70年代我国探索社会主义建设道路的实践,背景,①伴随土地改革和建立国营经济等，国民经济迅速恢复和发展②在此基础上，制定过渡时期的总路线和一五计划，开始社会主义工业化建设和三大改造③一五工业化建设成功进行打下良好基础④通过建立生产合作社（在农业手工业领域）、全行业公私合营（対资本主义工商业），到1956年完成社会主义改造。社会主义制度基本建立，但也遗留许多问题（如所有制形式过于单一等）,,,,,
20世纪50年代至70年代我国探索社会主义建设道路的实践经验教训,意义,"①指导思想上坚持认清国情，从实际出发，实事求是的思想路线，反对主观主义②中心任务上坚持以经济建设为中心，正确对待阶级斗争只在一定范围存在，不能当成主要任务，也不能搞熄灭论③经济建设应遵循客观规律,国民经济要有计划按比例地发展④政治建设加强和完善社会主义的民主和法律体制，坚持民主领导原则，反对个人专断和崇拜⑤成功经验发扬自力更生、艰苦奋斗的光荣传统
⑥生产关系变革应适应生产力的发展等",,,,,
20世纪70年代我国外交的突破性成就,内容,（1）1971年326届联大恢复在联合国的合法席位（2）中美关系走向正常化（3）中日邦交实现正常化,,,,,
20世纪90年代美国经济快速发展,原因,克林顿政府实施宏观调控，微观自主的经济政策；科技革命兴起，政府扶植高新产业，信息产业飞速发展，产业结构调整；经济运行机制发生深刻变化实现了经济发展的良性循环；经济全球化促进美国企业区域结构调整，给美国带来区域优势和国际竞争的优势；有利的国际和国内良好的政治环境,,,,,
20世纪91年代美国经济快速发展,内容,在较长时期经济持续繁荣高速发展；在低通货膨胀和低事业率同时出现，基本实现零通胀下的充分就业，打破了经济增长、事业率和通货膨胀的连动关系，美国进入新经济时代；经济运行机制发生深刻变化（股票上升，物价不高）,,,,,
20世纪的世界文学,背景,20世纪早期，现实主义作家创造了大量优秀作品，如英国萧伯纳的《苹果车》、法国罗曼·罗兰的《约翰·克里斯朵夫》等。20世纪上半期，苏联文学高度繁荣。高尔基的小说《母亲》和奥斯特洛夫斯基的《钢铁是怎样炼成的》，具有很大的世界影响。20世纪，亚洲、非洲、拉丁美洲涌现出一批杰出的文学家和文学作品，反映了反帝反殖和爱国主义精神。印度的泰戈尔、中国的鲁迅、哥伦比亚的马尔克斯、尼日利亚的索卡因等都有很大的世界影响。,,,,,
20世纪六七十年代科学技术成就,内容,"①国防科学技术领域（最为显著）A.1958原子反应堆，标志中国开始跨入原子能时代B.1964原子弹C.1967氢弹。D、1970长征一号把第一颗人造地球卫星东方红一号送入预定轨道②医学1965在世界上首次人工合成牛胰岛素结晶③农业科技1973年袁隆平成功培育出籼型杂交水稻
",,,,,
20世纪世界音乐的发展变化,意义,随着传播技术的革命和交通的日益便捷，日益繁荣的流行音乐活动改变着人类的娱乐和生活方式。各国间的音乐交流和交融日益增强，加深了对不同民族音乐的理解和尊重，推动着世界音乐的繁荣。,,,,,
90年代美国经济发展出现哪些新特点,内容,新特点有：①“新”在较长时期经济持续繁荣高速发展；②“新”在低通货膨胀和低失业率同时出现，基本实现零通胀下的充分就业；③“新”在经济运行机制发生深刻变化：打破了经济增长、失业率和通货膨胀连动的关系。,,,,,
